Date,Pattern,Price,direction,breakout_close,resistance,volume_ratio,Figure,low1,low2,bounce_pct,micro_double,high1,high2,drop_pct,pole_move_pct,flag_avg_overlap,flag_inside_ratio
2021-04-12,Breakout,4121.25,up,4121.25,4121.5,1.0,figures/breakout_00000.png,,,,,,,,,,
2021-04-23,Breakout,4167.5,up,4167.5,4183.5,1.0,figures/breakout_00009.png,,,,,,,,,,
2021-04-28,Breakout,4179.25,up,4179.25,4186.75,1.0,figures/breakout_00012.png,,,,,,,,,,
2021-05-04,Breakout,4156.0,down,4156.0,4211.0,1.0,figures/breakout_00016.png,,,,,,,,,,
2021-05-07,Breakout,4227.25,up,4227.25,4211.0,1.0,figures/breakout_00019.png,,,,,,,,,,
2021-05-12,Double Bottom,4056.5,,,,,figures/double_bottom_00022.png,3956.5,4051.0,6.97,none,,,,,,
2021-05-21,Breakout,4156.75,up,4156.75,4232.25,1.0,figures/breakout_00029.png,,,,,,,,,,
2021-05-28,Breakout,4204.0,up,4204.0,4232.25,1.0,figures/breakout_00034.png,,,,,,,,,,
2021-06-18,Double Bottom,4151.25,,,,,figures/double_bottom_00048.png,4051.0,4147.5,5.1,none,,,,,,
2021-06-23,Breakout,4233.5,up,4233.5,4257.5,1.0,figures/breakout_00051.png,,,,,,,,,,
2021-07-12,Double Top,4376.5,,,,,figures/double_top_00063.png,,,,none,4257.5,4379.25,5.29,,,
2021-07-19,Double Bottom,4254.5,,,,,figures/double_bottom_00068.png,4147.5,4224.0,5.71,none,,,,,,
2021-07-23,Breakout,4401.0,up,4401.0,4384.5,1.0,figures/breakout_00072.png,,,,,,,,,,
2021-07-29,Breakout,4405.75,up,4405.75,4416.25,1.0,figures/breakout_00076.png,,,,,,,,,,
2021-08-05,Breakout,4420.25,up,4420.25,4422.5,1.0,figures/breakout_00081.png,,,,,,,,,,
2021-08-12,Double Top,4453.75,,,,,figures/double_top_00086.png,,,,MDB,4384.5,4456.25,5.21,,,
2021-08-30,Double Bottom,4527.0,,,,,figures/double_bottom_00098.png,4252.75,4364.5,5.26,none,,,,,,
2021-09-08,Breakout,4511.75,down,4511.75,4544.0,1.0,figures/breakout_00104.png,,,,,,,,,,
2021-09-17,Breakout,4415.0,down,4415.0,4544.0,1.0,figures/breakout_00111.png,,,,,,,,,,
2021-09-20,Double Bottom,4340.0,,,,,figures/double_bottom_00112.png,4364.5,4293.75,5.83,none,,,,,,
2021-09-30,Breakout,4302.5,down,4302.5,4544.0,1.0,figures/breakout_00120.png,,,,,,,,,,
2021-10-07,Breakout,4391.5,up,4391.5,4544.0,1.0,figures/breakout_00125.png,,,,,,,,,,
2021-10-08,Double Top,4379.25,,,,,figures/double_top_00126.png,,,,none,4544.0,4455.0,5.51,,,
2021-10-14,Breakout,4431.0,up,4431.0,4544.0,1.0,figures/breakout_00130.png,,,,,,,,,,
2021-10-29,Breakout,4600.0,up,4600.0,4590.0,1.0,figures/breakout_00141.png,,,,,,,,,,
2021-11-16,Breakout,4697.5,up,4697.5,4711.75,1.0,figures/breakout_00153.png,,,,,,,,,,
2021-11-19,Breakout,4695.25,up,4695.25,4711.75,1.0,figures/breakout_00156.png,,,,,,,,,,
2021-11-30,Breakout,4578.75,down,4578.75,4740.5,1.02,figures/breakout_00162.png,,,,,,,,,,
2021-11-30,Double Bottom,4578.75,,,,,figures/double_bottom_00162.png,4487.25,4557.0,5.64,none,,,,,,
2021-12-14,Double Top,4625.0,,,,,figures/double_top_00172.png,,,,none,4740.5,4712.5,5.24,,,
2021-12-23,Breakout,4716.25,up,4716.25,4740.5,1.02,figures/breakout_00179.png,,,,,,,,,,
2021-12-27,Double Bottom,4781.25,,,,,figures/double_bottom_00180.png,4492.0,4520.25,5.15,none,,,,,,
2022-01-04,Breakout,4781.75,up,4781.75,4799.75,1.02,figures/breakout_00186.png,,,,,,,,,,
2022-01-18,Breakout,4572.25,down,4572.25,4808.25,1.0,figures/breakout_00195.png,,,,,,,,,,
2022-01-31,Breakout,4491.0,up,4491.0,4808.25,1.0,figures/breakout_00204.png,,,,,,,,,,
2022-02-11,Breakout,4413.25,down,4413.25,4808.25,1.0,figures/breakout_00213.png,,,,,,,,,,
2022-02-18,Breakout,4349.75,down,4349.75,4739.5,1.0,figures/breakout_00218.png,,,,,,,,,,
2022-02-18,Double Bottom,4349.75,,,,,figures/double_bottom_00218.png,4212.75,4321.0,8.86,none,,,,,,
2022-02-28,Double Top,4368.0,,,,,figures/double_top_00223.png,,,,none,4660.75,4582.5,9.61,,,
2022-03-02,Breakout,4378.25,up,4378.25,4603.0,1.0,figures/breakout_00225.png,,,,,,,,,,
2022-03-16,Breakout,4348.75,up,4348.75,4586.0,1.0,figures/breakout_00235.png,,,,,,,,,,
2022-03-17,Double Bottom,4395.5,,,,,figures/double_bottom_00236.png,4108.75,4153.25,7.43,none,,,,,,
2022-03-18,Double Top,4456.75,,,,,figures/double_top_00237.png,,,,none,4582.5,4458.5,10.34,,,
2022-04-06,Breakout,4474.0,down,4474.0,4631.0,1.0,figures/breakout_00250.png,,,,,,,,,,
2022-04-11,Breakout,4407.25,down,4407.25,4631.0,1.0,figures/breakout_00253.png,,,,,,,,,,
2022-04-18,Breakout,4400.5,down,4400.5,4631.0,1.0,figures/breakout_00257.png,,,,,,,,,,
2022-04-22,Double Bottom,4254.75,,,,,figures/double_bottom_00261.png,4160.75,4251.75,11.3,none,,,,,,
2022-04-29,Breakout,4141.25,down,4141.25,4631.0,1.0,figures/breakout_00266.png,,,,,,,,,,
2022-05-02,Double Top,4143.75,,,,,figures/double_top_00267.png,,,,none,4631.0,4509.0,5.75,,,
2022-05-09,Breakout,3998.25,down,3998.25,4631.0,1.0,figures/breakout_00272.png,,,,,,,,,,
2022-05-17,Breakout,4088.75,up,4088.75,4588.75,1.0,figures/breakout_00278.png,,,,,,,,,,
2022-05-20,Breakout,3897.25,down,3897.25,4516.0,1.0,figures/breakout_00281.png,,,,,,,,,,
2022-05-26,Breakout,4048.25,up,4048.25,4509.0,1.0,figures/breakout_00285.png,,,,,,,,,,
2022-06-02,Double Bottom,4170.0,,,,,figures/double_bottom_00289.png,3923.75,3807.5,7.41,MDB,,,,,,
2022-06-06,Double Top,4116.75,,,,,figures/double_top_00291.png,,,,none,4303.5,4176.75,11.53,,,
2022-06-09,Breakout,4020.0,down,4020.0,4303.5,1.0,figures/breakout_00294.png,,,,,,,,,,
2022-06-24,Breakout,3908.75,up,3908.75,4176.75,1.0,figures/breakout_00304.png,,,,,,,,,,
2022-07-07,Breakout,3900.25,up,3900.25,4176.75,1.0,figures/breakout_00312.png,,,,,,,,,,
2022-07-13,Breakout,3798.75,down,3798.75,4176.75,1.0,figures/breakout_00316.png,,,,,,,,,,
2022-07-14,Double Bottom,3797.75,,,,,figures/double_bottom_00317.png,3639.0,3723.75,8.55,none,,,,,,
2022-07-22,Double Top,3962.5,,,,,figures/double_top_00323.png,,,,none,4118.25,4016.25,11.64,,,
2022-07-27,Breakout,4016.0,up,4016.0,4016.25,1.0,figures/breakout_00326.png,,,,,,,,,,
2022-08-08,Breakout,4145.0,up,4145.0,4170.0,1.0,figures/breakout_00334.png,,,,,,,,,,
2022-08-19,Breakout,4230.75,down,4230.75,4327.5,1.0,figures/breakout_00343.png,,,,,,,,,,
2022-08-30,Double Bottom,3989.75,,,,,figures/double_bottom_00350.png,3913.25,3964.5,10.59,none,,,,,,
